Artist_Albums_Number,Artist_Albums_Tracks_Number,Artist_Appearances_Number,Artist_Appearances_Tracks_Number,Artist_Compilations_Number,Artist_Compilations_Tracks_Number,Artist_Follower,Artist_ID,Artist_Popularity,Artist_Singles_Number,Artist_Singles_Tracks_Number,Genre,Release_Date,Streams,Track_Artist,Track_Duration_ms,Track_ID,Track_Popularity,Track_Title,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,commentCount,dislikeCount,likeCount,video_ID,viewsCount,Charts
1,12,2,54,0,0,671483,2Im8m4STDBosjfmb5hmP80,77,11,11,Pop,2019-09-06,5781590,Loredana,155017,1skUhc3JS3jLCfugI3gm41,66,Kein Plan,"0,0689","0,878","0,699","0,00219",0,"0,0753","-5,035",0,"0,0464","102,01",4,"0,78",47084,77572,650419,pG1QsTYfIhw,62185685,1
63,718,186,1358,1,18,172012,7K78lVZ8XzkjfRSI7570FF,66,19,26,Pop,2001-09-03,5363271,José Feliciano,182360,7taXf5odg9xCAZERYfyOkS,61,Feliz Navidad,"0,534","0,485","0,857",0,2,"0,347","-7,059",1,"0,0442","148,749",4,"0,963",5925,10395,162464,0UVUW11FENs,23777058,1
1,8,2,30,0,0,620766,1qQLhymHXFPtP5U8KNKsm6,83,15,15,Hip Hop,2018-12-28,9246820,Apache 207,192025,4t7HHURXOXQdqE9THQWXqB,66,Famous,"0,183","0,859","0,679","0,00097",7,"0,107","-9,126",1,"0,116","134,97",4,"0,57",1694,2042,89676,THZwSpAM3jM,8857027,1
1,18,19,190,0,0,599401,6h1s4i4XKIYv4ErDelLDN0,85,29,33,Hip Hop,2019-12-05,25337918,Samra,179812,76IVpz47q3ghkxoUeTTEKb,75,COLT,"0,345","0,544","0,53",0,9,"0,0981","-6,168",0,"0,428","90,093",4,"0,184",12701,9257,277828,5SFEEB4sUZE,16609523,1
2,24,3,44,0,0,280612,4sg4no0TXdsrM1s4SVUwNF,77,11,11,Hip Hop,2019-06-14,30121388,Juju,145404,6erIvryBSsAdebNU4a7Mrs,69,Hi Babe,"0,423","0,758","0,729","0,00000239",11,"0,0954","-7,371",1,"0,0417","142,052",4,"0,738",6685,7058,202782,vj2b3ct9Kmw,11634332,1
7,193,43,688,0,0,3148830,4WZGDpNwrC0vNQyl9QzF7d,84,30,35,Hip Hop,2019-10-03,60556715,Capital Bra,194534,67ojvEGRPAUCOohuMPqoRC,71,110,"0,533","0,48","0,749",0,1,"0,0997","-5,057",0,"0,432","179,056",4,"0,419",33422,34777,655813,dab3fgqboeA,39773005,1
13,277,175,1003,2,57,1038968,4Yttlv9ndGjCDCVLqM7ACq,78,41,105,Hip Hop,2019-09-26,693553,Sido,167274,04LQiWCNfZg4NONh8IcCyt,53,Beste Zeit,"0,113","0,763","0,724","0,00597",7,"0,0929","-5,656",1,"0,236","90,116",4,"0,448",93,122,3697,5kNcSejbP9g,505965,1
2,26,3,41,0,0,1291875,5wyWp867LWGjFmYZXVSFnZ,72,12,12,Hip Hop,2019-05-31,10533873,MERO,169219,0H0MIfeqip6GKmafftx7kC,54,Malediven,"0,315","0,773","0,827",0,10,"0,123","-6,446",0,"0,176","159,87",4,"0,884",44885,80364,392247,BI_znJaV0rY,13366640,1
9,140,78,790,0,0,1233665,1aS5tqEs9ci5P9KD9tZWa6,81,9,20,Hip Hop,2018-10-05,2081033,Bonez MC,223381,4HIv1dRF270YMyfvuxnF0d,62,Risiko,"0,155","0,772","0,737","0,407",5,"0,159","-7,211",1,"0,0931","117,027",4,"0,229",12356,12650,335078,ZOL0wyBUWGk,40234821,1
10,193,84,911,0,0,859299,3drqpTL4sQOckmAfF9i1wg,77,9,9,Hip Hop,2019-07-26,5031487,Summer Cem,173986,3FWRHYAN0C050cpvD67Sk2,24,Bayram (feat. Elias),"0,18","0,856","0,763","0,0226",10,"0,256","-5,537",0,"0,08","122,048",4,"0,776",5354,5200,117827,kf97X_hhbjc,3785761,1
